time,ax,ay,az,aT
4.6890,-6.7721,6.6028,1.0267,9.514
4.7090,-8.3735,3.9110,-0.8494,9.281
4.7130,-10.3053,1.4127,-1.0432,10.454
4.7190,-12.1733,-0.4547,-0.4161,12.189
4.7310,-13.1925,-2.1985,0.4924,13.383
4.7390,-13.1593,-2.3023,0.3757,13.365
4.7580,-13.0075,-3.4971,1.4749,13.550
4.7610,-8.5444,-3.1382,4.6489,10.221
4.7690,-8.5475,-3.2154,4.4727,10.169
4.7800,-6.7249,-2.4358,4.6456,8.529
4.7920,-7.1434,-3.0792,2.9081,8.305
4.8060,-9.0506,-3.6521,0.3326,9.765
4.8350,-9.9880,-3.9345,-1.1714,10.799
4.8390,-10.4498,-3.2308,-2.7428,11.277
4.8420,-10.2669,-3.3208,-2.5699,11.092
4.8440,-10.7390,-3.0377,-1.2842,11.234
4.8560,-9.4918,-1.1086,4.6930,10.647
4.8800,-8.3808,-0.2729,6.8527,10.829
4.8820,-7.5636,0.9376,9.6270,12.279
4.8830,-7.0951,2.7309,13.0887,15.136
4.9060,-7.1831,4.5356,14.5645,16.861
4.9080,-7.0228,6.2304,13.3977,16.360
4.9110,-6.8450,8.0391,10.3278,14.770
4.9200,-7.1784,9.6694,8.0316,14.475
4.9290,-7.0394,9.6003,8.0585,14.376
4.9400,-4.8241,16.3365,10.8545,20.198
4.9580,0.9458,18.9563,15.0086,24.197
4.9610,5.4502,20.1939,17.5696,27.317
4.9700,5.3302,20.2369,17.4846,27.270
4.9790,4.5787,16.9579,15.8991,23.692
4.9890,4.5671,16.9845,15.9651,23.753
4.9990,5.2211,14.1954,13.7208,20.421
5.0380,7.4963,8.6987,11.8172,16.478
5.0420,5.9408,5.3426,10.4684,13.169
5.0450,4.1037,1.6825,9.2720,10.278
5.0470,2.5892,-1.0884,8.6865,9.129
5.0510,0.8029,-4.2219,7.7362,8.850
5.0610,-0.3666,-6.7567,6.4373,9.340
5.0700,-0.3544,-6.7453,6.4884,9.366
5.0820,-0.3287,-9.5927,5.6082,11.117
5.0920,-0.3755,-9.5887,5.5407,11.081
5.1010,0.0749,-11.2489,3.9535,11.924
5.1340,1.0299,-13.0277,0.4646,13.077
5.1360,-0.0269,-13.8939,-0.8512,13.920
5.1370,-0.1433,-13.8130,-0.8357,13.839
5.1640,-1.0141,-14.4459,-1.5554,14.565
5.1680,-1.1655,-14.1622,-1.5496,14.294
5.1700,-1.8002,-13.8115,-1.3563,13.994
5.1720,-2.4277,-13.3270,-1.6650,13.648
5.1800,-2.3305,-12.3537,-2.0238,12.733
5.1900,-2.4051,-12.2048,-1.8364,12.574
5.2010,-1.4920,-10.4603,-1.5550,10.680
5.2270,-0.2354,-8.4304,-0.6986,8.463
5.2290,1.8506,-2.9478,1.5742,3.820
5.2310,1.8147,-2.8871,1.6228,3.777
5.2400,0.8148,-0.7104,3.0261,3.213
5.2500,-1.1398,3.0376,5.2493,6.171
5.2720,-2.2202,5.3432,6.7134,8.863
5.2760,-2.2277,5.3324,6.6831,8.835
5.2820,1.2419,10.5320,8.8209,13.794
5.2900,6.3970,14.4517,10.8210,19.154
5.3010,11.5732,21.7191,8.9581,26.190
5.3100,9.8012,22.2005,7.6992,25.460
5.3300,6.6138,19.1706,8.9176,22.154
5.3320,6.5916,19.1075,8.7663,22.032
5.3400,1.4488,14.5134,11.2467,18.418
5.3500,-3.8959,8.9075,10.3808,14.223
5.3620,-5.7484,6.0060,6.0779,10.298
5.3700,-6.8664,4.5734,2.1163,8.517
5.3830,-7.9865,2.9787,-2.4943,8.881
5.3920,-8.6371,1.6054,-5.5248,10.378
5.4020,-8.4357,0.4833,-5.6734,10.177
5.4090,-7.9218,-1.0072,-4.2636,9.052
5.4380,-7.9279,-2.0992,-1.9076,8.420
5.4400,-7.8881,-2.1605,-1.9546,8.409
5.4420,-7.1978,-4.2953,1.5437,8.523
5.4520,-7.1337,-4.3816,1.4855,8.503
5.4600,-8.5068,-5.1071,3.6750,10.581
5.4690,-9.0542,-5.2813,5.2758,11.735
5.4830,-9.5345,-5.4679,6.3405,12.689
